Start Timestamp,Elapsed Time (s),Rounds Played,Score,Total Reward,BOILING,BOMB_DROPPED,BOMB_EXPLODED,BOMB_USELESS,CLOSING_IN,COIN_COLLECTED,COIN_FOUND,COOL,CRATE_DESTROYED,CRATE_POT_DESTROYED,DANGER,FRESHENED_UP,GOT_KILLED,HOT,INESCAPABLE,INVALID_ACTION,KILLED_OPPONENT,KILLED_SELF,MOVED_DOWN,MOVED_LEFT,MOVED_RIGHT,MOVED_UP,NOT_DEAD,OPPONENT_ELIMINATED,RUN_DANGER,RUN_KNOWN_DANGER,RUN_SAFE,SURVIVED_ROUND,WAITED,WARM,UP,DOWN,LEFT,RIGHT,WAIT,BOMB
2024-09-29 14:31:00,239.3014588356018,10,0,-57.11999999999953,0,15,15,0,0,1,2,0,35,0,0,0,10,0,0,70,0,10,106,198,196,102,0,0,0,10,0,0,40,0,121,205,121,210,40,20
2024-09-29 14:31:00,239.99836111068726,10,0,-42.659999999999776,0,16,16,0,0,0,3,0,33,0,0,0,10,0,0,44,0,10,56,37,29,56,0,0,1,6,0,0,53,0,62,36,65,44,51,23
2024-09-29 14:31:00,241.31138110160828,10,0,-55.60000000000043,0,20,20,0,0,0,0,0,45,0,0,0,10,0,0,61,0,10,141,96,96,145,0,0,0,10,0,0,106,0,152,108,150,111,103,31
2024-09-29 14:31:00,242.28484511375427,10,0,-49.770000000000046,0,20,20,0,0,0,1,0,41,0,0,0,10,0,0,52,0,10,48,100,101,44,0,0,0,9,0,0,92,0,57,108,56,108,90,28
2024-09-29 14:31:00,243.04717421531677,10,0,-45.38000000000008,0,18,18,0,0,0,2,0,42,0,0,0,10,0,0,47,0,10,78,22,17,77,0,0,0,8,0,0,49,0,84,26,83,35,48,22
2024-09-29 14:31:00,244.48631715774536,10,0,-50.2,0,24,24,0,0,0,4,0,39,0,0,0,10,0,0,55,0,10,114,88,91,111,0,0,1,7,0,0,94,0,117,103,127,100,93,27
2024-09-29 14:31:00,245.33267402648926,10,0,-45.67000000000009,0,27,27,0,0,2,6,0,50,0,0,0,10,0,0,54,0,10,40,35,36,44,0,0,1,7,0,0,104,0,56,47,48,39,102,38
2024-09-29 14:31:00,246.05179500579834,10,0,-46.27999999999998,0,16,16,0,0,0,2,0,31,0,0,0,10,0,0,45,0,10,25,18,15,28,0,0,0,10,0,0,80,0,31,25,33,28,78,22
2024-09-29 14:31:00,246.81755900382996,10,0,-38.320000000000164,0,17,17,0,0,0,1,0,37,0,0,0,10,0,0,26,0,10,53,15,17,59,0,0,0,7,0,0,87,0,64,20,56,18,82,24
2024-09-29 14:31:00,247.51416110992432,10,0,-44.18000000000005,0,24,24,0,0,0,2,0,40,0,0,0,10,0,0,41,0,10,54,13,12,59,0,0,1,8,0,0,86,0,65,16,57,22,85,34
2024-09-29 14:31:00,248.20635795593262,10,0,-44.77000000000013,0,20,20,0,0,1,2,0,53,0,0,0,10,0,0,43,0,10,45,9,19,50,0,0,1,9,0,0,97,0,53,29,58,14,94,25
2024-09-29 14:31:00,249.23945713043213,10,0,-48.16000000000002,0,21,21,0,0,0,2,0,45,0,0,0,10,0,0,46,0,10,63,54,59,62,0,0,0,9,0,0,128,0,74,64,71,59,124,31
2024-09-29 14:31:00,249.929270029068,10,0,-42.23000000000001,0,17,17,0,0,0,3,0,43,0,0,0,10,0,0,41,0,10,26,9,1,29,0,0,0,8,0,0,47,0,37,7,34,12,45,25
2024-09-29 14:31:00,251.09522604942322,10,0,-43.52999999999991,0,24,24,0,0,1,5,0,61,0,0,0,10,0,0,39,0,10,74,30,34,67,0,0,1,8,0,0,100,0,73,43,79,35,98,30
2024-09-29 14:31:00,252.2581901550293,10,0,-50.799999999999905,0,18,18,0,0,1,4,0,45,0,0,0,10,0,0,55,0,10,132,67,69,124,0,0,0,10,0,0,51,0,137,84,134,80,49,22
2024-09-29 14:31:00,253.13861298561096,10,0,-39.67000000000005,0,19,19,0,0,1,6,0,51,0,0,0,10,0,0,33,0,10,53,45,56,49,0,0,0,7,0,0,68,0,54,60,60,47,66,26
2024-09-29 14:31:00,254.12041401863098,10,0,-43.009999999999884,0,20,20,0,0,0,4,0,42,0,0,0,10,0,0,33,0,10,58,64,59,56,0,0,0,9,0,0,67,0,62,68,64,64,65,24
2024-09-29 14:31:00,255.12887716293335,10,0,-38.08000000000011,0,15,15,0,0,0,2,0,29,0,0,0,10,0,0,27,0,10,80,20,20,82,0,0,2,6,0,0,53,0,85,30,79,22,51,20
2024-09-29 14:31:00,256.5194139480591,10,0,-46.08000000000001,0,24,24,0,0,0,2,0,50,0,0,0,10,0,0,41,0,10,41,49,54,50,0,0,1,9,0,0,103,0,57,60,49,55,102,29
2024-09-29 14:31:00,258.11103892326355,10,0,-43.61999999999985,0,21,21,0,0,0,2,0,44,0,0,0,10,0,0,45,0,10,62,23,24,67,0,0,0,7,0,0,47,0,81,30,67,29,44,28
2024-09-29 14:31:00,260.3948321342468,10,0,-47.73999999999976,0,24,24,0,0,1,7,0,54,0,0,0,10,0,0,52,0,10,74,35,39,78,0,0,0,9,0,0,70,0,89,50,83,39,68,33
2024-09-29 14:31:00,261.4232199192047,10,0,-45.350000000000016,0,19,19,0,0,0,3,0,43,0,0,0,10,0,0,44,0,10,14,100,101,22,0,0,0,8,0,0,70,0,33,106,23,105,67,26
2024-09-29 14:31:00,262.46217799186707,10,0,-37.36000000000019,0,15,15,0,0,1,3,0,43,0,0,0,10,0,0,25,0,10,58,38,38,58,0,0,1,7,0,0,67,0,60,44,63,40,66,16
2024-09-29 14:31:00,263.4661271572113,10,0,-46.01999999999999,0,19,19,0,0,0,1,0,42,0,0,0,10,0,0,48,0,10,20,68,74,18,0,0,0,8,0,0,72,0,29,82,25,74,71,28
2024-09-29 14:31:00,264.4259250164032,10,0,-40.510000000000105,0,21,21,0,0,0,3,0,43,0,0,0,10,0,0,34,0,10,41,43,42,49,0,0,2,6,0,0,77,0,51,49,47,47,75,28
2024-09-29 14:31:00,265.45849323272705,10,0,-46.749999999999936,0,16,16,0,0,0,2,0,47,0,0,0,10,0,0,43,0,10,44,63,65,59,0,0,0,10,0,0,61,0,69,70,44,75,58,25
2024-09-29 14:31:00,266.5497782230377,10,0,-47.239999999999746,0,18,18,0,0,0,6,0,45,0,0,0,10,0,0,43,0,10,82,60,62,84,0,0,1,10,0,0,40,0,94,66,90,66,37,26
2024-09-29 14:31:00,267.6344518661499,10,0,-45.45999999999991,0,15,15,0,0,0,5,0,37,0,0,0,10,0,0,39,0,10,43,115,116,44,0,0,0,9,0,0,64,0,54,120,50,118,63,21
2024-09-29 14:31:00,268.6233260631561,10,0,-43.08000000000009,0,16,16,0,0,0,3,0,39,0,0,0,10,0,0,39,0,10,23,79,76,24,0,0,0,7,0,0,102,0,29,79,31,86,101,23
2024-09-29 14:31:00,269.54920506477356,10,0,-42.210000000000086,0,22,22,0,0,0,4,0,54,0,0,0,10,0,0,37,0,10,45,13,17,52,0,0,0,7,0,0,120,0,64,19,48,20,116,29
2024-09-29 14:31:00,270.5360360145569,10,0,-39.83999999999983,0,25,25,0,0,1,4,0,48,0,0,0,10,0,0,34,0,10,20,75,70,23,0,0,1,6,0,0,98,0,29,74,26,78,95,33
2024-09-29 14:31:00,271.39217615127563,10,0,-42.19000000000006,0,20,20,0,0,0,5,0,45,0,0,0,10,0,0,40,0,10,38,30,32,39,0,0,0,7,0,0,70,0,48,38,44,40,68,21
2024-09-29 14:31:00,272.4101960659027,10,0,-47.00000000000015,0,19,19,0,0,1,4,0,52,0,0,0,10,0,0,46,0,10,20,84,81,23,0,0,0,10,0,0,87,0,30,93,30,89,85,23
2024-09-29 14:31:00,273.4560270309448,10,0,-44.92999999999982,0,19,19,0,0,0,2,0,55,0,0,0,10,0,0,40,0,10,104,24,27,108,0,0,1,8,0,0,81,0,114,35,110,31,80,23
2024-09-29 14:31:00,274.6351878643036,10,0,-51.830000000000155,0,15,15,0,0,0,0,0,39,0,0,0,10,0,0,57,0,10,103,33,37,100,0,0,0,10,0,0,85,0,103,57,112,42,83,23
2024-09-29 14:31:00,276.17438888549805,10,0,-48.39999999999978,0,14,14,0,0,0,4,0,43,0,0,0,10,0,0,48,0,10,123,41,39,123,0,0,0,9,0,0,73,0,135,48,132,50,71,15
2024-09-29 14:31:00,277.20289516448975,10,0,-47.55999999999999,0,17,17,0,0,0,5,0,49,0,0,0,10,0,0,45,0,10,107,10,9,106,0,0,0,10,0,0,70,0,111,21,116,14,68,24
2024-09-29 14:31:00,278.2379150390625,10,0,-44.71000000000014,0,21,21,0,0,1,3,0,42,0,0,0,10,0,0,36,0,10,90,19,16,94,0,0,1,10,0,0,100,0,104,20,95,24,96,27
2024-09-29 14:31:00,279.2977521419525,10,0,-44.57999999999991,0,18,18,0,0,0,2,0,34,0,0,0,10,0,0,41,0,10,97,28,29,94,0,0,0,8,0,0,72,0,100,33,103,36,71,26
2024-09-29 14:31:00,280.4581689834595,10,0,-46.17000000000023,0,16,16,0,0,0,3,0,31,0,0,0,10,0,0,44,0,10,83,66,66,84,0,0,1,8,0,0,68,0,90,74,91,75,67,20
2024-09-29 14:31:00,281.3936071395874,10,0,-44.14000000000016,0,15,15,0,0,0,1,0,28,0,0,0,10,0,0,42,0,10,44,57,59,46,0,0,0,8,0,0,59,0,56,63,49,69,58,17
2024-09-29 14:31:00,282.5528790950775,10,0,-45.839999999999925,0,31,31,0,0,0,0,0,30,0,0,0,10,0,0,50,0,10,53,77,69,53,0,0,3,5,0,0,90,0,62,77,57,87,90,40
